RunAccession,SampleAccession,DatasetAccession,LibraryStrategy,DatasetReadable,PairedEnd,Source,Endedness
INH051204,INH051200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051301,INH051300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051302,INH051300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051303,INH051300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051304,INH051300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051401,INH051400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051402,INH051400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051403,INH051400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051404,INH051400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051501,INH051500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051502,INH051500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051503,INH051500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051504,INH051500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051601,INH051600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051602,INH051600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051603,INH051600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051604,INH051600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051701,INH051700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051702,INH051700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051703,INH051700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051704,INH051700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051801,INH051800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051802,INH051800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051803,INH051800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051804,INH051800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051901,INH051900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051902,INH051900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051903,INH051900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH051904,INH051900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052001,INH052000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052002,INH052000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052003,INH052000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052004,INH052000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052101,INH052100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052102,INH052100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052103,INH052100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052104,INH052100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052201,INH052200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052202,INH052200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052203,INH052200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052204,INH052200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052301,INH052300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052302,INH052300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052303,INH052300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052304,INH052300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052401,INH052400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052402,INH052400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052403,INH052400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052404,INH052400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052501,INH052500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052502,INH052500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052503,INH052500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052504,INH052500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052601,INH052600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052602,INH052600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052603,INH052600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052604,INH052600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052701,INH052700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052702,INH052700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052703,INH052700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052704,INH052700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052801,INH052800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052802,INH052800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052803,INH052800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052804,INH052800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052901,INH052900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052902,INH052900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052903,INH052900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH052904,INH052900,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053001,INH053000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053002,INH053000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053003,INH053000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053004,INH053000,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053101,INH053100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053102,INH053100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053103,INH053100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053104,INH053100,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053201,INH053200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053202,INH053200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053203,INH053200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053204,INH053200,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053301,INH053300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053302,INH053300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053303,INH053300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053304,INH053300,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053401,INH053400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053402,INH053400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053403,INH053400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053404,INH053400,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053501,INH053500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053502,INH053500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053503,INH053500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053504,INH053500,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053601,INH053600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053602,INH053600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053603,INH053600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053604,INH053600,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053701,INH053700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053702,INH053700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053703,INH053700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053704,INH053700,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053801,INH053800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053802,INH053800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053803,INH053800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
INH053804,INH053800,INH050000,rRNA,INH05_Novak2019Clones,False,In-House,Single
